Dataset;Number of citations (Google Scholar);Number of Papers (Papers with code since 2020);Number of Evaluations (Papers with code API);Music/Speech/Sounds;Link;Paper Link;Model in Paper (Paper Link if Link Model Paper == null);Model in Paper Input Data;Score or best score in Paper;Metrics in Paper;Year;Author;Original Usecase;Accessable;Downloadable;Download Comment;Category Source;Size Number of Samples;Size (Hours);Contents based on;Source;Language;Number of Benchmarks (Audio Classification or Recognition Papers with Code different models);Best Scoure;Best Model related to scoure;Best Model Input Data;Metrics related to scoure;Link Model Paper;Comment
AudioSet;3950,00;591,00;70,00;Sounds;https://research.google.com/audioset/;https://ieeexplore.ieee.org/document/7952261;CNN;Spectrogram;31,400;mAP (mean Average Precision);2017;Google;Audio classification;yes;Hard;"Registration required; Videos";YouTube audio clips;2100000;5800;short video clips;Youtube;English;53,00;55,80;OmniVec2;Spectrogram;mAP (mean Average Precision);https://paperswithcode.com/paper/omnivec2-a-novel-transformer-based-network;n/a
AudioCaps;570,00;223,00;98,00;Sounds;https://audiocaps.github.io/;https://aclanthology.org/N19-1011/;VGGish-LSTM ;Not Relevant;"19,3;50,9";"METEOR;CIDEr";2019;n/a;Audio captioning;yes;Easy;Direct download;YouTube audio clips;50535;135;audio clips;AudioSet subset ;English;n/a;n/a;n/a;n/a;n/a;n/a;n/a
AVSpeech;959,00;36,00;0,00;Speech;https://looking-to-listen.github.io/;https://arxiv.org/abs/1804.03619;n/a;Not Relevant;n/a;n/a;2018;Google;Automatic speech recognition;yes;Medium;Videos;YouTube videos;470000;4700;short video clips;"Youtube; TED Talks";English;n/a;n/a;n/a;n/a;n/a;n/a;n/a
UrbanSound8K;1653,00;100,00;4,00;Sounds;https://urbansounddataset.weebly.com/urbansound8k.html;https://www.justinsalamon.com/uploads/4/3/9/4/4394963/salamon_urbansound_acmmm14.pdf;SVM;Mel-Frequency Cepstral Coefficients (MFCC);70,000;Accuracy;2014;Freesound.org;Audio classification;yes;Easy;Direct download;Environment recordings;8732;8,75;audio clips;Freesound.org;n/a;4,00;98,05;FACE;Mel-Frequency Cepstral Coefficients (MFCC);Accuracy;https://arxiv.org/pdf/2303.03666v1;n/a
ESC-50;1872,00;302,00;540,00;Sounds;https://github.com/karolpiczak/ESC-50;https://dl.acm.org/doi/10.1145/2733373.2806390;n/a;n/a;n/a;n/a;2015;n/a;Audio classification;yes;Easy;Direct download;Environment recordings;2000;2,78;audio clips;Freesound.org;n/a;50,00;99,10;OmniVec2;Spectrogram;Accuracy;https://paperswithcode.com/paper/omnivec2-a-novel-transformer-based-network;n/a
LibriSpeech;7494,00;1922,00;2,00;Speech;https://www.openslr.org/12;https://ieeexplore.ieee.org/document/7178964;DNN 960h  ;Not Relevant;5,510;WER (World Error Rate);2015;LibriVox;Automatic speech recognition;yes;Easy;Direct download;Audiobooks;n/a;1000;audibooks;LibriVox.com;English;115,00;0,99;United-MedASR;Not Relevant;WER (World Error Rate);https://arxiv.org/pdf/2412.00055v1;n/a
VGG-Sound;618,00;179,00;16,00;Sounds;https://www.robots.ox.ac.uk/~vgg/data/vggsound/;https://arxiv.org/abs/2004.14368;ResNet50;Spectrogram;53,200;mAP (mean Average Precision);2020;n/a;Audio classification;no;n/a;Download link not available;YouTube videos;200000;550;short video clips;Youtube;n/a;29,00;69,80;Mirasol3B;Spectrogram;Top1 Accuracy;https://arxiv.org/pdf/2311.05698v3;n/a
FSD50K;524,00;139,00;10,00;Sounds;https://zenodo.org/records/4060432;https://dl.acm.org/doi/10.1109/TASLP.2021.3133208;n/a;n/a;n/a;n/a;2020;n/a;Audio classification;yes;Easy;Direct download;User-contributed sounds;51197;80,4;short video clips;"Freesound.org; AudioSet";English;9,00;69,70;ONE-PEACE;Raw Audio;mAP (mean Average Precision);https://arxiv.org/pdf/2305.11172v1;n/a
Common Voice;1787,00;363,00;6,00;Speech;"https://commonvoice.mozilla.org/en/datasets; https://huggingface.co/datasets/common_voice";https://arxiv.org/abs/1912.06670;"A six-layer unidirectional CTC
model, with one LSTM layer.";Not Relevant;43,600;Character Error Rate;2019;Mozilla;Automatic speech recognition;yes;Easy;Direct download;User-contributed sounds;n/a;7335;audio clips;Crowdsourcing;Multilingual;14,00;23437,00;"wav2vec 2.0 XLS-R 1B + TEVR
(5-gram)";Not Relevant;WER (World Error Rate);https://arxiv.org/pdf/2206.12693v1;German was taken
GTZAN;1420,00;12,00;16,00;Music;https://www.tensorflow.org/datasets/catalog/gtzan;https://ieeexplore.ieee.org/document/1021072;GMM (Genres);Mel-Frequency Cepstral Coefficients (MFCC);60,000;Accuracy;2001;n/a;Music classification;yes;Medium;Not direct;Music recordings;1000;8,33;music tracks;Personal recordings;n/a;6,00;87,00;wav2vec2-base-finetuned-gtzan;n/a;Accuracy;https://huggingface.co/juangtzi/wav2vec2-base-finetuned-gtzan;http://marsyas.info/index.html
